year,above_lonesome,below_lonesome,total_spawn,survey_method,source-notes,notes from kate
1966,16000,,16000,,"Range of Escapement (10 to 20K)--Escapement Records + Summary of Salmon Spawning, Atnarko River, 1952-1973",
1967,36000,,36000,,"Escapement Records + Summary of Salmon Spawning, Atnarko River, 1952-1974",
1968,8000,,8000,,"Range of Escapement (5 to 10K)--Escapement Records + Summary of Salmon Spawning, Atnarko River, 1952-1975",
1969,40000,,40000,,Range of Escapement (20 to 50K)--Escapement Records ,
1970,25000,,25000,,Range of Escapement (20 to 50K)--Escapement Records ,
1971,100000,,100000,,Range of Escapement (used Maximum)--Escapement Records,
1972,32500,,32500,,Range of Escapement (used Midpoint)--Escapement Records ,
1973,85000,,85000,,Range of Escapement (used Midpoint)--Escapement Records ,
1974,55000,,55000,,Range of Escapement (used Midpoint)--Escapement Records + Bella Coola Stream File (original Salmon Spawning Report),
1975,45000,,45000,,Escapement Records,
1976,30000,,30000,,Escapement Records; Last year of entry in Atnarko Sockeye Binder and BC16 Historic.  The observations in both were Oct 6-8 and numbers don't show more than 5K.  Missing data from mid to late September inspection that probably supports 30k annual estimate.,
1977,27363,2637,30000,foot,"Atnarko Sockeye Binder and BC16 Historic // Escapement Records; Inspections on Sept 14 (est. 10k) and 30 (est. 22,750).  Assumed from the notes that the Sept 30 inspection was expanded for the final estimate (as says final escp't 25-30k) beside that inspection.  From Sept 30 Stillwater to Lonesome est. 2,000 and above Lonesome 20,750.  Used these to determine ocean vs. lake types in 30k annual estimate.",
1978,17203,2797,20000,foot,"Atnarko Sockeye Binder and BC16 Historic // Escapement Records: Inspections Sept 12, 27 and Oct 2.  Confusing expansion due to sections inspected: 12- Rainbow to Stillwater (7,500), 27- Tenas to Stillwater (12,000), and 2- Knot to Elbow and Tenas to Lonesome (11,200). From the latter, the only section not inspected was between Elbow and Rainbow Lakes.  It appears as though the 20K annual estimate was subjective, based on all of the counts.  To break down the 20K estimate into lake vs. ocean type, used the highest count from each section: Knot to Elbow- 1,200; Rainbow to Tenas- 600; Head of Tenas- 500; Tenas to Lonesome- 10,000; Lonesome to Stillwater- 2,000.  The ratios from the latter were applied to the 20k to determine lake vs. ocean types.",
1979,15633,2367,18000,foot,"Atnarko Sockeye Binder // Escapement Records; Estimate given in Atnarko Sockeye Binder was 20K.  If you add data Sept 17 and 26 inspections (including obs of dead fish) comes out to 18,015.",
1980,23000,1000,24000,foot,Atnarko Sockeye Binder and BC16 Histroic // Escapement Records,
1981,36736,3264,40000,foot,"Atnarko Sockeye Binder and BC16 Histroic // Escapement Records; Sept 24 inspection Knot to Stillwater.  Sept 29 looked at Tenas to Lonesome only.  Used the Sept 29 est for Lonesome to Tenas and Sept 24 for all other sections.  Stillwater to Lonesome est. 3,000, Lonesome and above est. 33,760.  Used these ratios compared to annual est. of 40K to determine lake vs. ocean types.",
1982,17648,2352,20000,foot,"BC16 Historic (Atnarko Sockeye Binder no estimates for 1982) // Escapement Records; Assumed expansion of Sept 27 count; Stillwater to Lonesome est. 2,000, above Lonesome est. 15,008.  Used these to compare to 20K annual estimate to determine ocean vs. lake types.  Assumed that Stanleys observation on Sept 7 of 3k spawning above Stillwater Lake didn't factor into estimate- too early for spawn?",
1983,19345,5655,25000,foot,Atnarko Sockeye Binder and BC16 Historic // Escapement Records (RMS recorded as 57985 but table says 57975 corrected),
1984,36589,8411,45000,foot,Atnarko Sockeye Binder // RMS and Escapement Records,
1985,37432,12568,50000,foot,BC16 Historic // Escapement Records (RMS escapement to Kimsquit River not finalized at time of printing),
1986,14013,5962,19975,foot,Atnarko Sockeye Binder // Neither (Escapement Records added 1 for Cascade and RMS 40652 not used as nothing for Kisameet = 97),
1987,17550,13230,30780,foot,"Atnarko Sockeye Binder and BC16 Historic // Neither (Escapement Records had N/R for Cascade which in RMS was 3 and RMS 55593 wrong b/c of rounding on Bella Coola); Stillwater to Lonesome- est. 5,000 and above Lonesome est. 17,100.  BC16 Historic has a count Sept 20 that had 100 obs and 600 est below Stillwater to Fisheries Pool.  Assumed 22,100 expanded to 25K for the annual estimate.  Used the ratios to determine ocean vs. lake types.",
